nickname,pet_name,pet_type1,pet_type2,pet_weight,pet_age,trouble1,trouble2,trouble3
까미9,까미9,0,코리안 쇼트헤어,3,5,치아/구강,,
까비2,까비2,1,말티즈,3,5,알러지,장,
까비3,까비3,1,푸들,3,9,노령,치아/구강,호흡기
깐순이,깐순이,1,요크셔테리어,3,13,노령,뼈/관절,
깜,깜,1,그레이하운드,5,5,행동,치아/구강,뼈/관절
깜노리,깜노리,1,파피용,5,5,뼈/관절,,
깜둥,깜둥,1,믹스견,5,12,노령,알러지,치아/구강
깜디1,깜디1,1,보더 콜리,9,9,노령,신장/요로,치아/구강
깜디2,깜디2,1,페키니즈,2,15,심장,,
깜별이,깜별이,0,코리안 쇼트헤어,6,8,신장/요로,치아/구강,피부/모질
깜시,깜시,1,퍼그,4,3,뼈/관절,,
깜장콩,깜장콩,0,코리안 쇼트헤어,5,3,알러지,호흡기,
깜지,깜지,1,믹스견,4,6,비만,알러지,뼈/관절
깜콩,깜콩,1,요크셔테리어,3,8,비만,신장/요로,뼈/관절
깡냉이,깡냉이,0,코리안 쇼트헤어,4,10,노령,비만,
깡둥이,깡둥이,0,코리안 쇼트헤어,4,1,행동,눈/귀,
깡이,깡이,0,아비시니안,5,4,행동,,
깡통이,깡통이,1,푸들,18,3,비만,알러지,
깨몽이,깨몽이,1,포메라니안,1.5,10,피부/모질,눈/귀,
꼬기2,꼬기2,1,웰시 코기,8,3,행동,,
꼬꼬,꼬꼬,0,코리안 쇼트헤어,7.2,11,노령,알러지,치아/구강
꼬마1,꼬마1,1,말티즈,3,1,비만,뼈/관절,호흡기
꼬마2,꼬마2,0,먼치킨,6.5,3,비만,신장/요로,뼈/관절
꼬마4,꼬마4,1,푸들,5,8,노령,장,뼈/관절
꼬망1,꼬망1,0,코리안 쇼트헤어,1,1,장,,
꼬맹이1,꼬맹이1,1,믹스견,6,5,비만,치아/구강,뼈/관절
꼬맹이2,꼬맹이2,0,기타,5,8,노령,비만,신장/요로
꼬물이2,꼬물이2,0,코리안 쇼트헤어,6,5,비만,장,치아/구강
꼬미1,꼬미1,1,믹스견,1,1,행동,,
꼬미3,꼬미3,1,말티즈,5,3,비만,알러지,장
꼬미5,꼬미5,0,믹스묘,3,4,비만,,
꼬봉이,꼬봉이,0,스코티시 폴드,2,1,피부/모질,,
꼼,꼼,1,말티즈,9,8,비만,신장/요로,치아/구강
꽁꽁,꽁꽁,1,말티즈,3,10,노령,비만,호흡기
꽁이1,꽁이1,0,아메리칸 쇼트헤어,3,2,행동,,
꽁이2,꽁이2,0,먼치킨,3,2,뼈/관절,,
꽁이4,꽁이4,1,말티즈,4,5,행동,,
꽁이5,꽁이5,1,말티즈,3,7,알러지,치아/구강,뼈/관절
꽃비,꽃비,1,포메라니안,3,14,노령,호흡기,뼈/관절
꾸,꾸,1,웰시 코기,5,3,눈/귀,,
꾸또,꾸또,0,믹스묘,3.5,6,알러지,,
꾸미1,꾸미1,1,믹스견,3.5,9,치아/구강,,
꾸미3,꾸미3,1,믹스견,3.7,9,행동,,
꾸미4,꾸미4,1,말티즈,5,13,노령,비만,뼈/관절
꾸터,꾸터,1,시츄,2.9,2,치아/구강,,
꿀쫄이,꿀쫄이,0,벵갈,6,5,장,치아/구강,피부/모질
꿈이,꿈이,1,기타,4,9,노령,비만,호흡기
끼,끼,1,시츄,5,9,노령,눈/귀,뼈/관절
낑깡2,낑깡2,1,말티즈,4,13,노령,알러지,피부/모질
나나3,나나3,1,믹스견,3.4,1,행동,,
나나4,나나4,1,말티즈,3.4,2,행동,,
나나6,나나6,1,말티즈,2,3,눈/귀,뼈/관절,
나로,나로,1,믹스견,12,3,장,행동,치아/구강
나리2,나리2,1,푸들,4,9,노령,치아/구강,피부/모질
나리3,나리3,0,코리안 쇼트헤어,6,10,노령,치아/구강,눈/귀
나무4,나무4,1,닥스훈트,3,4,치아/구강,뼈/관절,
