product,brand,salary_age,category,salary_type,pet_type,기능,weight,price,product_name,crud_protein,crud_fat,crud_fiber,crud_ash,ca,p,water
1,112,생후 3개월 부터 10개월까지,건식사료,성견 시 체중 4kg 미만 초소형견,1,,1.5kg,23000,로얄캐닌 엑스스몰 퍼피,31,20,1.5,7.1,1.13,0.94,10.5
2,112,생후 10개월 이후,건식사료,4kg 미만의 초소형견,1,,1.5kg,23000,로얄캐닌 엑스스몰 어덜트,24,18,1.7,5.9,0.82,0.7,11
3,112,생후 8년이후부터 12년까지,건식사료,4kg 미만의 초소형견,1,,1.5kg,21900,로얄캐닌 엑스스몰 어덜트 8+,24,18,1.7,5.4,0.8,0.6,
4,112,생후 12년 이후,건식사료,4kg 미만의 초소형견,1,,1.5kg,23000,로얄캐닌 엑스스몰 에이징 12+,24,16,1.8,4.7,0.7,0.55,
5,112,임신 말기부터 수유기까지/생후 2개월까지,건식사료,성견 시 체중 10kg 미만 소형견,1,,1kg,12000,로얄캐닌 미니 스타터 마더 앤 베이비독,30,22,1.3,8,1.29,1.01,
6,112,생후 3개월 부터 10개월까지,건식사료,성견시 체중 10kg 미만 소형견,1,,8kg,70000,로얄캐닌 미니 퍼피,31,20,1.4,7.7,1.25,1,
7,112,생후 3개월 부터 10개월까지,건식사료,10kg미만의 소형견,1,,1.5kg,24000,로얄캐닌 미니 인도어 퍼피,27,18,1.5,7.8,1.27,1,
8,112,생후 10개월 이후,건식사료,10kg미만의 소형견,1,,15kg,68600,로얄캐닌 미니 어덜트,27,16,1.3,5.7,0.91,0.8,
9,112,10개월 이후,건식사료,10kg미만의 소형견,1,,1.5kg,22000,로얄캐닌 미니 인도어 어덜트,21,14,1.9,6.1,0.75,0.5,
10,112,생후 8년 이후,건식사료,10kg미만의 소형견,1,,1.5kg,24000,로얄캐닌 미니 인도어 시니어,24,14,1.5,6.1,0.73,0.58,11
11,112,생후 11개월부터,건식사료,중성화 수술한 10kg 미만의 소형견,1,중성화 수술 후 회복 도움,1kg,18500,로얄캐닌 미니 스테럴라이즈드,30,13,6.4,5.3,0.72,0.7,
12,112,생후 11개월부터,건식사료,피부가 약하고 가려움증의 소인이 있는 10kg 미만의 소형견,1,피부,1kg,26730,로얄캐닌 미니 더마컴포트,26,17,1.4,5.5,0.66,0.6,
13,112,생후 11개월부터,건식사료,살찌는 경향이 있는 10kg 미만의 소형견,1,체중,1kg,13900,로얄캐닌 미니 라이트 웨이트 케어,30,11,6.8,5.1,0.82,0.64,
14,112,생후 11개월부터,건식사료,소화기가 민감한 10kg 미만의 소형견,1,변 상태,1kg,13900,로얄캐닌 미니 다이제스티브 케어,30,22,1.8,6.1,0.81,0.71,
15,112,생후 3개월 부터 12개월 까지,건식사료,성견시 체중 11kg 이상 25kg 미만 중형견,1,,4kg,30000,로얄캐닌 미디엄 퍼피,32,20,1.7,8,1.29,1.08,
16,112,생후 12개월 이후,건식사료,11kg 이상 25kg 미만의 중형견,1,,4kg,40000,로얄캐닌 미디엄 어덜트,25,14,1.3,6.1,1.2,0.8,
17,112,생후 3개월 부터 15개월 까지,건식사료,체중 26kg 이상 45kg 미만,1,,10kg,78000,로얄캐닌 맥시 퍼피,30,16,2.6,7.7,1.26,1.07,
18,112,생후 15개월 이후,건식사료,체중 26kg 이상 45kg 미만,1,,10kg,78000,로얄캐닌 맥시 어덜트,26,17,1.2,6.6,1.2,0.8,
19,112,임신 말기/수유기 및 2개월 까지 이유기 자견,건식사료,25~45kg 대형견,1,,15kg,115000,로얄캐닌 PRO 맥시 스타터 마더 앤 베이비독,30,22,,7,1.15,0.95,8
20,112,생후 8개월까지,건식사료,45kg 이상 초대형견,1,,17kg,105000,로얄캐닌 PRO 자이언트 퍼피,34,14,,7.3,1,0.85,8
21,112,생후 8개월부터 18/24개월까지,건식사료,45kg 이상 초대형견,1,,17kg,83000,로얄캐닌 PRO 자이언트 주니어,31,16,,8,1.2,0.95,8
22,112,생후 19개월/25개월 부터,건식사료,45kg 이상 초대형견,1,,20kg,100000,로얄캐닌 PRO 자이언트 어덜트,28,20,1.9,6,1,0.7,8
23,112,3개월 이상,건식사료,반려견,1,피부,1kg,17000,로얄캐닌 더마컴포트,25.5,17,1.4,5.3,0.6,0.6,10.5
24,112,3개월 이상,건식사료,반려견,1,체중,1kg,17000,로얄캐닌 라이트웨이트 케어,30,11,6.6,5.2,0.82,0.64,10.5
25,112,3개월 이상,건식사료,반려견,1,변 상태,1kg,13900,로얄캐닌 다이제스티브 케어,30,22,1.8,6.1,0.81,0.71,9
26,112,3개월 이상,건식사료,반려견,1,중성화,1kg,17000,로얄캐닌 스테럴라이즈드,30,13,6.6,5.4,0.74,0.69,10.5
27,112,3개월 이상,건식사료,반려견,1,털 관리,1kg,18000,로얄캐닌 미니 코트 케어,30,16,2.4,5.9,1.01,0.8,10.5
28,112,3개월 이상,건식사료,반려견,1,안정감,1kg,17000,로얄캐닌 미니 릴렉스 케어,21,15,2.7,5.3,0.89,0.64,10.5
29,112,3개월 이상,습식사료,반려견,1,피부,85g,2500,로얄캐닌 미니 더마컴포트 파우치,6.6,4.6,2.3,2.1,0.03,0.02,79.5
30,112,3개월 이상,습식사료,반려견,1,체중,85g,2500,로얄캐닌 미니 라이트웨이트 케어 파우치,8.7,2.3,1.7,1.7,0.2,0.18,82.5
31,112,3개월 이상,습식사료,반려견,1,변 상태,85g,2500,로얄캐닌 미니 다이제스티브 케어 파우치,8.6,5.7,1.3,1.9,0.25,0.19,80.5
32,112,3개월 이상,습식사료,반려견,1,중성화,85g,1100,로얄캐닌 미니 스테럴라이즈드 파우치,8.4,4,1.3,1.5,0.2,0.19,82.5
33,112,3개월 이상,습식사료,반려견,1,털 관리,85g,2000,로얄캐닌 미니 코트 케어 파우치,8.5,6.5,1.3,1.8,0.28,0.21,79.5
34,112,3개월 이상,습식사료,반려견,1,안정감,85g,2500,로얄캐닌 미니 릴렉스 케어 파우치,8.4,5.5,1.3,1.6,0.21,0.2,
35,112,"임신, 수유기 & 2개월 까지의 이유기",건식사료,성견 체중 10kg 이하 소형견,1,성장기 관리,1.5kg,22100,로얄캐닌 스타터 스몰독,30,22,1.3,,1.2,0.95,
36,112,2개월 부터 10개월까지의 성장기,건식사료,성견시 체중 10kg 이하,1,성장기 관리,2kg,22000,로얄캐닌 주니어 스몰독,29,20,1.2,,1.15,0.92,
37,112,중성화 수술 이후,건식사료,체중이 10kg 이하의 중성화된 성견,1,중성화 관리,1.5kg,23000,로얄캐닌 중성화 스몰독,30,11,6.5,,0.64,0.6,
38,112,11개월부터 8년 까지,건식사료,성견시 체중 10kg 이하,1,성장후 관리,2kg,22000,로얄캐닌 어덜트 스몰독,25,16,1.6,,0.9,0.7,
39,112,9세 부터,건식사료,성견 체중 10kg 이하 소형견,1,노령기 관리,1.5kg,20000,로얄캐닌 머츄어 스몰독,25,14,7.1,,0.87,0.55,
40,112,"성장기, 임신/수유 제외",건식사료,반려견,1,하부요로 질환 처방,3.5kg,52000,로얄캐닌 유리너리 S/O,18,17,2.2,,0.5,0.5,
41,112,"성장기, 임신/수유 제외",건식사료,반려견,1,하부요로 질환 처방,1.5kg,26000,로얄캐닌 유리너리 S/O 스몰독,20,17,2.3,,0.71,0.7,
42,112,"성장기, 임신/수유 제외",건식사료,반려견,1,하부요로 질환 처방,1.5kg,26000,로얄캐닌 유리너리 S/O 모더레이트 칼로리,20,11,6.5,,0.57,0.57,
43,112,"성장기, 임신/수유 제외",습식사료,반려견,1,하부요로 질환 처방,410g,5800,로얄캐닌 유리너리 S/O 로프 인 캔,8,5,1.4,,0.21,0.2,
44,112,"성장기, 임신/수유 제외",습식사료,반려견,1,하부요로 질환 처방,100g,2000,로얄캐닌 유리너리 S/O 씬 슬라이스 그레이비 파우치,8,5.5,1.2,,0.15,0.14,
45,112,생후 10개월 이상,건식사료,반려견,1,관절 질환 처방,2kg,21800,로얄캐닌 모빌리티 C2P+,23,9,6.4,4.9,0.6,0.3,11
46,112,3개월 이상,건식사료,체중이 10kg 이하인 구강위생이 필요한 소형견,1,구강 위생,2kg,33000,로얄캐닌 덴탈 스페셜 스몰독,25,16,4.5,,0.7,0.6,
47,112,"임신, 수유, 성정기, 치료 후 회복기",습식사료,반려견,1,회복기 집중관리,195g,4000,로얄캐닌 리커버리,12,4.2,3,1.9,0.12,0.09,75.5
48,112,"성장기, 임신, 수유 시 제외",습식사료,반려견,1,ICU,200ml,20000,로얄캐닌 리커버리 리퀴드,8.2,5.2,0,1,0.2,0.17,85
50,112,"성장기, 임신, 수유 시 제외",습식사료,반려견,1,ICU,200ml,16200,로얄캐닌 레날 리퀴드,5,8,0,1,0.16,0.11,79.2
52,112,"성장기, 임신, 수유 시 제외",건식사료,반려견,1,복합질환,3.5kg,59000,로얄캐닌 유리너리 + 하이포알러제닉,20,15,2.4,,0.51,0.5,
53,112,"성장기, 임신, 수유 시 제외",건식사료,반려견,1,복합질환,2kg,26850,로얄캐닌 멀티펑션 모빌리티 C2P⁺ + 세타이어티,28,12,16.3,,0.79,0.4,
54,112,생후 11개월 부터,건식사료,반려견,1,,1.5kg,23000,로얄캐닌 말티즈 어덜트,22,16,2.4,6.1,0.5,0.9,
55,112,생후 10개월 까지,건식사료,시츄,1,,1.5kg,23000,로얄캐닌 시츄 퍼피,28,18,1.5,6.8,1.2,0.87,
56,112,생후 11개월 부터,건식사료,시츄,1,,1.5kg,23000,로얄캐닌 시츄 어덜트,22,18,4,6.2,0.62,0.4,
57,112,생후 10개월 까지,건식사료,닥스훈트,1,,1.5kg,14000,로얄캐닌 닥스훈트 퍼피,30,16,1.5,6.9,1.2,0.88,
58,112,생후 11개월 부터,건식사료,닥스훈트,1,,1.5kg,23000,로얄캐닌 닥스훈트 어덜트,26,12,3.9,7,0.6,0.46,
59,112,생후 10개월 이상,습식사료,닥스훈트,1,,85g,1400,로얄캐닌 닥스훈트 어덜트 파우치,8.5,5.9,1.2,2.1,0.31,0.27,
60,112,생후 11개월 부터,건식사료,비숑,1,,1.5kg,23000,로얄캐닌 비숑프리제 어덜트,27,13,2.5,8.1,0.5,0.4,
61,112,생후 12개월 이상,건식사료,프렌치 불독,1,,1.5kg,23000,로얄캐닌 프렌치 불독 어덜트,24,16,2.3,6.1,0.5,0.4,
62,112,생후 10개월 까지,건식사료,푸들,1,,1.5kg,23000,로얄캐닌 푸들 퍼피,33,19,1.4,7.1,1.2,0.89,
63,112,생후 11개월 부터,건식사료,푸들,1,,1.5kg,23000,로얄캐닌 푸들 어덜트,28,17,3,5.8,0.6,0.4,
64,112,생후 11개월 이상,습식사료,푸들,1,,85g,2700,로얄캐닌 푸들 어덜트 파우치,9,5.8,1.2,2,0.29,0.24,
65,112,생후 10개월 까지,건식사료,미니어처 슈나우저,1,,1.5kg,17500,로얄캐닌 미니어쳐 슈나우저 퍼피,30,14,1.8,7.5,1.2,0.9,
66,112,생후 11개월 부터,건식사료,미니어처 슈나우저,1,,3kg,34000,로얄캐닌 미니어쳐 슈나우저 어덜트,25,12,2,8,,,
68,112,생후 11개월 부터,건식사료,요크셔테리어,1,,1.5kg,23000,로얄캐닌 요크셔테리어 어덜트,26,16,4.1,5.5,0.52,0.4,
69,112,생후 10개월 이상,습식사료,요크셔테리어,1,,85g,1250,로얄캐닌 요크셔테리어 어덜트 파우치,8.5,6,1.6,2.2,0.28,0.25,
70,112,생후 2개월 이상 15개월 이하,건식사료,라브라도 리트리버,1,,16kg,150000,로얄캐닌 라브라도 리트리버 퍼피,33,14,1.5,6.8,0.99,0.83,
71,112,가임기부터 임신중기(약42일),건식사료,임신견용,1,,8kg,52000,로얄캐닌 HT 42d 스몰독,24,18,,6.5,1,0.8,
72,112,태생부터 이유기까지,습식사료,반려견,1,,2kg,100000,로얄캐닌 베이비독 밀크,33,39,,6,1.1,0.8,
73,112,3개월 이상,건식사료,"사역견용(군견, 사냥견)",1,,20kg,84000,로얄캐닌 사이노 엔듀어러스,32,30,,8.2,1.5,1,
74,112,생후 3주까지의 자견,기타(사료),반려견,1,초유 대용,300g,19000,로얄캐닌 퍼피 프로테크,31,35,,,0.9,0.74,
75,112,3개월 이상,기타(건강보조),전견종용,1,훈련용 영양 보조제,50g,1500,로얄캐닌 에듁,18,,2.9,2.5,,0.2,
76,112,생후 3개월부터 10개월까지,습식사료,소형견(성견시 체중 10kg 미만),1,,85g,3000,로얄캐닌 미니 퍼피 파우치,8,6,1,22,0.32,0.25,82
77,112,어덜트,습식사료,소형견(성견시 체중 10kg 미만),1,,85g,3000,로얄캐닌 미니 어덜트 파우치,7.5,5.5,1.1,1.6,0.25,0.19,82.5
78,112,시니어,습식사료,소형견(성견시 체중 10kg 미만),1,,85g,1250,로얄캐닌 미니 에이징 파우치,8,5.5,1.1,1.3,0.2,0.16,
79,112,"생후 2개월 미만 자견, 임신말기부터 수유기 어미견",습식사료,"어미견, 자견",1,,195g,2500,로얄캐닌 스타터 무스 마더앤 베이비독 캔,10,6,1,1.5,0.3,0.26,
80,112,생후 10개월 이상,습식사료,소형견,1,,195g,2500,로얄캐닌 주니어 캔,9,6,1,1.5,0.26,0.25,
81,112,생후 10개월 이상,습식사료,소형견,1,,195g,2500,로얄캐닌 어덜트 라이트 캔,9,2.7,2.5,1.4,0.25,0.2,
82,112,생후 10개월 이상,습식사료,소형견,1,,195g,2500,로얄캐닌 어덜트 뷰티 캔,9.6,6.4,2,2,0.39,0.3,
83,112,생후 8세 이후,습식사료,반려견,1,,195g,2500,로얄캐닌 머츄어 8+ 캔,9,2.7,2.5,1.4,0.26,0.23,
84,401,1~7세,건식사료,모든 견종,1,,1kg,27000,하림 더리얼 동결건조 오븐베이크드 닭고기 어덜트,29,16,7,9,0.7,0.6,10
85,401,8세 이상,건식사료,모든 견종,1,,1kg,27000,하림 더리얼 동결건조 오븐베이크드 닭고기 시니어,27,16,5,9,0.7,0.6,10
86,401,1~7세,건식사료,모든 견종,1,,1kg,30000,하림 더리얼 동결건조 오븐베이크드 연어 어덜트,28,16,8,9,0.7,0.6,10
87,401,0~1세,건식사료,모든 견종,1,,1kg,24000,하림 더리얼 크런치 닭고기 퍼피,28,18,5,9,1,0.8,10
88,401,1~7세,건식사료,모든 견종,1,,1kg,23000,하림 더리얼 크런치 닭고기 어덜트,26,16,5,9,0.7,0.6,10
89,401,8세 이상,건식사료,모든 견종,1,,1kg,23000,하림 더리얼 크런치 닭고기 시니어,24,14,5,9,0.7,0.6,10
90,401,0~1세,건식사료,모든 견종,1,,1kg,25000,하림 더리얼 크런치 오리 퍼피,28,18,5,9,1,0.8,10
91,401,1~7세,건식사료,모든 견종,1,,1kg,24000,하림 더리얼 크런치 오리 어덜트,26,16,5,9,0.7,0.6,10
92,401,1~7세,건식사료,모든 견종,1,,1kg,28000,하림 더리얼 크런치 소고기 어덜트,26,16,5,9,0.7,0.6,10
93,401,1~7세,건식사료,모든 견종,1,,1kg,27000,하림 더리얼 크런치 연어 어덜트,26,16,5,9,0.7,0.6,10
94,401,8세 이상,건식사료,모든 견종,1,,1kg,27000,하림 더리얼 크런치 연어 시니어,24,14,5,9,0.7,0.6,10
95,401,3개월 이상,건식사료,모든 견종,1,,360g,8900,하림 더리얼 골드듀,26,16,6,8,0.9,0.7,10
96,401,0~1세,건식사료,모든 견종,1,,1kg,19000,하림 더리얼 그레인프리 오븐베이크드 닭고기 퍼피,27,17,4,10,1,0.8,10
97,401,1~7세,건식사료,모든 견종,1,,1kg,18000,하림 더리얼 그레인프리 오븐베이크드 닭고기 어덜트,25,15,5,10,0.7,0.6,10
98,401,8세 이상,건식사료,모든 견종,1,,1kg,18000,하림 더리얼 그레인프리 오븐베이크드 닭고기 시니어,24,14,4,10,0.7,0.6,10
99,401,1~7세,건식사료,모든 견종,1,,1kg,21000,하림 더리얼 그레인프리 오븐베이크드 소고기 어덜트,25,15,5,10,0.7,0.6,10
100,401,8세 이상,건식사료,모든 견종,1,,1kg,21000,하림 더리얼 그레인프리 오븐베이크드 소고기 시니어,24,14,4,7,0.9,0.7,10
101,401,1~7세,건식사료,모든 견종,1,,1kg,20000,하림 더리얼 그레인프리 오븐베이크드 연어 어덜트,25,15,5,10,0.7,0.6,10
102,401,0~1세,건식사료,모든 견종,1,,1kg,17000,하림 더리얼 그레인프리 크런치 닭고기 퍼피,27,17,4,9,1,0.8,10
103,401,1~7세,건식사료,모든 견종,1,,1kg,16000,하림 더리얼 그레인프리 크런치 닭고기 어덜트,25,15,5,9,0.7,0.6,10
104,401,8세 이상,건식사료,모든 견종,1,,1kg,16000,하림 더리얼 그레인프리 크런치 닭고기 시니어,24,14,4,9,0.7,0.6,10
105,401,1~7세,건식사료,모든 견종,1,,1kg,19000,하림 더리얼 그레인프리 크런치 소고기 어덜트,25,15,5,9,0.7,0.6,10
106,401,8세 이상,건식사료,모든 견종,1,,1kg,19000,하림 더리얼 그레인프리 크런치 소고기 시니어,24,14,4,7,0.9,0.7,10
107,401,1~7세,건식사료,모든 견종,1,,1kg,19000,하림 더리얼 그레인프리 크런치 연어 어덜트,25,15,5,9,0.7,0.6,10
108,401,0~1세,건식사료,모든 견종,1,퍼피 맞춤 솔루션,2kg,21700,하림 밥이보약 DOG 탄탄한 성장,27,16,4,8,1,0.9,10
109,401,전연령,건식사료,모든 견종,1,관절 질환,2kg,21700,하림 밥이보약 DOG 튼튼한 관절,24,12,4,8,0.9,0.8,10
110,401,전연령,건식사료,모든 견종,1,윤기 피부,2kg,21700,하림 밥이보약 DOG 빛나는 피모,24,12,4,8,0.9,0.8,10
111,401,전연령,건식사료,모든 견종,1,소화 개선,2kg,21700,하림 밥이보약 DOG 건강한 장,22,8,4,7,0.9,0.8,10
112,401,전연령,건식사료,모든 견종,1,체중 조절,2kg,21700,하림 밥이보약 DOG 알맞은 체중,23,7,6,7,0.9,0.7,10
113,401,전연령,건식사료,모든 견종,1,웰빙,2kg,21700,하림 밥이보약 DOG 토탈웰빙,23,11,4,7,0.9,0.7,10
114,401,8세 이상,건식사료,모든 견종,1,노령 맞춤 솔루션,2kg,21700,하림 밥이보약 DOG 활기찬 노후,22,12,4,8,0.8,0.7,10
115,401,1세미만,건식사료,소형견,1,,2.4kg,26000,하림 더베터 스몰브리드 퍼피,25,15,6,9,1,0.8,10
116,401,1~7세,건식사료,소형견,1,,2.4kg,26000,하림 더베터 스몰브리드 어덜트,24,14,6,9,0.9,0.7,10
117,401,8세 이상,건식사료,소형견,1,,2.4kg,26000,하림 더베터 스몰브리드 시니어,20,12,6,9,0.9,0.7,10
118,401,1~5세,건식사료,대형견,1,,8kg,77000,하림 더베터 라지브리드 어덜트,24,13,6,9,0.7,0.6,10
119,401,5세 이상,건식사료,대형견,1,,8kg,77000,하림 더베터 라지브리드 시니어,21,11,6,9,0.7,0.6,10
120,401,3개월 이상,자연식사료,반려견,1,,200g,8400,하림 더리얼 밀 닭고기,11,5,3,3,0.2,0.2,70
121,401,3개월 이상,자연식사료,반려견,1,,200g,8600,하림 더리얼 밀 연어,12,5,3,3,0.2,0.2,70
122,401,3개월 이상,자연식사료,반려견,1,,200g,11200,하림 더리얼 밀 소고기,12,5,3,3,0.2,0.2,70
123,401,3개월 이상,자연식사료,반려견,1,,500g,8600,하림 더리얼 미트 닭가슴살,20,0.1,5,5,0.01,0.05,80
124,401,3개월 이상,자연식사료,반려견,1,,500g,6800,하림 더리얼 미트 닭날개,14,4,3,3,0.05,0.05,75
125,401,3개월 이상,자연식사료,반려견,1,,500g,9600,하림 더리얼 미트 닭안심,20,0.1,5,5,0.01,0.05,80
126,401,3개월 이상,자연식사료,반려견,1,,500g,5800,하림 더리얼 미트 닭목뼈,13,10,3,8,0.5,0.05,65
127,401,3개월 이상,건식사료,반려견,1,,500g,7800,하림 가장 맛있는 시간 30일 그레인프리 오븐베이크드 닭고기 어덜트,25,15,5,9,0.7,0.6,10
128,401,3개월 이상,건식사료,반려견,1,,500g,4200,하림 가장 맛있는 시간 30일 스마트 발란스 어덜트,24,12,4,8,0.9,0.8,10
129,401,퍼피,건식사료,반려견,1,,500g,7800,하림 가장 맛있는 시간 30일 그레인프리 오븐베이크드 닭고기 퍼피,27,17,5,9,1,0.8,10
130,401,3개월 이상,건식사료,반려견,1,,500g,7200,하림 가장 맛있는 시간 30일 그레인프리 크런치 소고기 어덜트,25,15,5,9,0.7,0.6,10
131,401,3개월 이상,건식사료,반려견,1,,500g,8800,하림 가장 맛있는 시간 30일 그레인프리 오븐베이크드 연어 어덜트,25,15,5,9,0.7,0.6,10
132,401,3개월 이상,건식사료,반려견,1,,500g,5800,하림 가장 맛있는 시간 30일 그레인프리 크런치 닭고기 어덜트,25,15,5,9,0.7,0.6,10
133,401,시니어,건식사료,반려견,1,,500g,7800,하림 가장 맛있는 시간 30일 그레인프리 오븐베이크드 닭고기 시니어,24,14,5,9,0.7,0.6,10
134,401,3개월 이상,건식사료,반려견,1,,500g,8800,하림 가장 맛있는 시간 30일 그레인프리 오븐베이크드 소고기 어덜트,25,15,5,9,0.7,0.6,10
135,401,3개월 이상,건식사료,반려견,1,,500g,6800,하림 가장 맛있는 시간 30일 그레인프리 크런치 연어 어덜트,25,15,5,9,0.7,0.6,10
136,401,퍼피,건식사료,반려견,1,,500g,6200,하림 가장 맛있는 시간 30일 그레인프리 크런치 닭고기 퍼피,27,17,5,9,1,0.8,10
137,401,시니어,건식사료,반려견,1,,500g,5800,하림 가장 맛있는 시간 30일 그레인프리 크런치 닭고기 시니어,24,14,5,9,0.7,0.6,10
138,401,시니어,건식사료,반려견,1,,500g,4200,하림 가장 맛있는 시간 30일 스마트 발란스 시니어,22,12,4,8,0.8,0.7,10
139,347,성견용,건식사료,반려견,1,,12kg,90000,페로 도그 슈퍼센서티브,23,12,3,8,1.8,1.09,8
140,347,성견용,건식사료,반려견,1,,12kg,90000,페로 도그 하이미트,24,10,3,6.5,1.9,1,8
141,49,전연령,건식사료,반려견,1,,5kg,40000,뉴웨이브 치킨&피쉬,24,12,4,6,0.9,0.4,12
142,49,전연령,건식사료,반려견,1,,4kg,50000,뉴웨이브 오가닉 98,23,9,6,8,1,1.2,9
143,49,전연령,건식사료,반려견,1,,5kg,55000,뉴웨이브 홀리스틱2,23,12,6,8,1,1.2,9
144,49,전연령,건식사료,반려견,1,,5kg,45000,뉴웨이브 홀리스틱3 ,23,12,6,8,1,1.2,9
145,49,전연령,건식사료,반려견,1,,5kg,60000,뉴웨이브 홀리스틱4,23,12,6,8,0.9,0.4,12
146,7,전연령,건식사료,반려견,1,피부 개선,4kg,28000,뉴트리나 건강백서 건강한 피부,27,15,5,9,1,0.6,12
147,7,전연령,건식사료,반려견,1,소화 개선,4kg,28000,뉴트리나 건강백서 건강한 장,27,15,5.5,9,1,0.6,12
148,7,전연령,건식사료,반려견,1,관절 관리,4kg,28000,뉴트리나 건강백서 건강한 관절,27,15,5,9.5,1,0.6,12
149,7,1세이상 성견용,건식사료,반려견,1,체중 관리,4kg,28000,뉴트리나 건강백서 건강한 체중,22,8,5,10,0.9,0.6,12
150,7,전연령,건식사료,반려견,1,스트레스 관리,4kg,28000,뉴트리나 건강백서 건강한 스트레스,27,15,5,9,0.9,0.6,12
151,7,어린강아지용 (1세까지),건식사료,반려견,1,유아기 관리,4kg,28000,뉴트리나 건강백서 건강한 1세,28,15,6,10,1.2,1,12
152,7,6세 이상,건식사료,반려견,1,성견 관리,4kg,28000,뉴트리나 건강백서 건강한 6세+,27,12,5,10,1,0.6,12
153,7,생후 3개월부터,습식사료,반려견,1,피부관리,100g,1800,뉴트리나 건강백서캔 피부건강 기능성-오리고기,8.3,6,1,3,0.5,1,
154,7,생후 3개월부터,습식사료,반려견,1,관절 관리,100g,1800,뉴트리나 건강백서캔 관절건강 기능성-닭고기,6.5,3.5,1,4,0.4,1,
155,7,생후 3개월부터,습식사료,반려견,1,,100g,1600,뉴트리나 건강백서캔 양고기,8.3,5,1,4,0.4,0.2,80
156,7,생후 3개월부터,습식사료,반려견,1,,100g,1600,뉴트리나 건강백서캔 쇠고기,8.3,6,1,3,0.4,0.2,80
157,7,생후 3개월부터,습식사료,반려견,1,,100g,1600,뉴트리나 건강백서캔 닭고기,6.5,3.5,1,4,0.4,1,
158,7,생후 3개월부터,습식사료,반려견,1,,100g,1600,뉴트리나 건강백서캔 닭고기와 쇠고기,7,4,1,4,0.4,0.2,80
159,7,전연령,건식사료,시츄,1,,4kg,29000,뉴트리나 건강백서 시츄,27,13,5.5,10,1,0.6,12
160,7,전연령,건식사료,요크셔테리어,1,,4kg,29000,뉴트리나 건강백서 요크셔테리어,28,18,5.5,10,1,0.6,12
161,7,전연령,건식사료,말티즈,1,,4kg,29000,뉴트리나 건강백서 말티즈,28,18,5,10,1,0.6,12
162,7,전연령,건식사료,슈나우져,1,,4kg,29000,뉴트리나 건강백서 슈나우져,26,12,5,10.5,1,0.6,12
163,7,전연령,건식사료,코커 스파니엘,1,,4kg,29000,뉴트리나 건강백서 코커 스파니엘,27,12,5,10.5,1,0.6,12
164,7,전연령,건식사료,푸들,1,,4kg,29000,뉴트리나 건강백서 푸들,28,18,5,10,0.9,0.6,12
165,7,전연령,건식사료,포메라니언,1,,4kg,29000,뉴트리나 건강백서 포메라니언,27,15,5,10,0.9,0.6,12
166,7,전연령,건식사료,반려견,1,,2.5kg,18900,뉴트리나 건강백서 건강한 발효 100,25,12,5.5,9,1,0.6,12
167,7,전연령,건식사료,반려견,1,,2.5kg,18900,뉴트리나 건강백서 건강한 발효 205,24,12,5.5,9,1,0.6,12
168,13,3개월 이상,습식사료,반려견,1,,120g,2000,소고기 공기밥 FRESH BEEF,12,11,0.8,2,0.1,0.1,76.3
169,13,3개월 이상,습식사료,반려견,1,,120g,2000,연어 공기밥 FRESH SALMON,12,12,0.6,2,0.1,0.1,75.3
170,13,3개월 이상,습식사료,반려견,1,,120g,2000,오리고기 공기밥 FRESH DUCK,10.8,12.2,1,2,0.1,0.1,70
171,13,3개월 이상,습식사료,반려견,1,,120g,2000,닭고기 공기밥 FRESH CHICKEN,13,9,0.8,3,0.2,0.1,75
172,393,생후 2개월 이후 전연령견,건식사료,반려견,1,,2kg,20000,피니키 유기농 가수분해 연어,24,12,6,8,0.9,0.4,12
173,393,생후 2개월 이후 전연령견,건식사료,반려견,1,,2kg,21000,피니키 유기농 가수분해 양고기,24,12,6,8,0.9,0.4,12
174,393,생후 2개월 이후 전연령견,건식사료,반려견,1,,2kg,24000,피니키 유기농 가수분해 소고기,24,12,6,8,0.9,0.4,12
175,393,생후 2개월 이후 전연령견,건식사료,반려견,1,,2kg,24000,피니키 유기농 가수분해 오리고기,24,12,6,8,0.9,0.4,12
176,393,생후 2개월 이후 전연령견,건식사료,반려견,1,,2kg,24000,피니키 그레인프리 연어,27,13,4.5,12,1,0.6,10
177,393,생후 2개월 이후 전연령견,건식사료,반려견,1,,2kg,24000,피니키 그레인프리 양고기,28,14,4.5,12,2,1.2,10
178,393,생후 2개월 이후 전연령견,건식사료,반려견,1,,2kg,24000,피니키 그레인프리 비프,27,14,4.5,12,2,1.2,10
179,393,생후 2개월 이후 전연령견,건식사료,반려견,1,,2kg,24300,피니키 캐나다 그레인프리 연어,25,15,5.5,9.5,1.1,0.9,10
180,393,생후 2개월 이후 전연령견,건식사료,반려견,1,,2kg,26000,피니키 캐나다 그레인프리 칠면조,27,15,5.5,9.5,1.1,0.9,10
181,393,생후 2개월 이후 전연령견,소프트사료,반려견,1,,1.5kg,20000,피니키 소프트사료볼 치킨,13.5,3.4,5,11,1.2,0.01,33
182,393,생후 2개월 이후 전연령견,소프트사료,반려견,1,,1.5kg,15000,피니키 소프트사료볼 치킨 야채,13.5,3.4,5,11,1.2,0.01,33
