product,brand,salary_age,category,salary_type,pet_type,기능,weight,price,product_name,crud_protein,crud_fat,crud_fiber,crud_ash,ca,p,water
4448,357,3개월 이상,육포/져키/소시지,반려견,1,,113g,89000,펫보타닉스 트레이닝 리워드 닭고기,12,7,4,5,0.1,1,30
4449,357,3개월 이상,육포/져키/소시지,반려견,1,,113g,89000,펫보타닉스 트레이닝 리워드 베이컨,12,7,4,5,0.1,0.5,
4450,339,전연령,육포/져키/소시지,반려견,1,,100g,4000,파밀 소프트 연어 져키,12,1.5,3,6,0.01,0.5,35
4451,339,전연령,육포/져키/소시지,반려견,1,,100g,4000,파밀 소프드 고구마치즈 져키,12,1.5,3,6,0.01,0.5,35
4452,339,전연령,육포/져키/소시지,반려견,1,,100g,4000,파밀 소프트 소고기 져키,12,1.5,3,6,0.01,0.5,35
4453,339,전연령,육포/져키/소시지,반려견,1,,100g,5000,파밀 소프트 닭고기 져키,12,1.5,3,6,0.01,0.5,35
4454,339,전연령,육포/져키/소시지,반려견,1,,100g,4000,파밀 말랑쫄깃 져키 연어,12,1.5,3,6,0.01,0.5,35
4455,339,전연령,육포/져키/소시지,반려견,1,,100g,4000,파밀 말랑쫄깃 져키 고구마치즈,12,1.5,3,6,0.01,0.5,35
4456,339,전연령,육포/져키/소시지,반려견,1,,100g,4000,파밀 말랑쫄깃 져키 소고기,12,1.5,3,6,0.01,0.5,35
4457,339,전연령,육포/져키/소시지,반려견,1,,100g,4000,파밀 말랑쫄깃 져키 닭고기,12,1.5,3,6,0.01,0.5,35
4458,339,생후2개월 이상,육포/져키/소시지,반려견,1,,100g,3500,파밀 큐브 소고기 스테이크,13,5,5,5,0.02,0.3,31
4459,339,생후2개월 이상,육포/져키/소시지,반려견,1,,100g,3500,파밀 치즈바이트,9,10,6,7,0.1,0.2,32
4460,339,생후2개월 이상,육포/져키/소시지,반려견,1,,70g,5300,파밀 뉴트리레이나 사슴고기,11,2,3,6,0.01,0.5,29
4461,339,생후2개월 이상,육포/져키/소시지,반려견,1,,100g,1000,파밀 오블리 양고기&치즈버거,14,6,5,6,0.03,0.15,32
4462,339,생후2개월 이상,육포/져키/소시지,반려견,1,,50g,1500,파밀 오키독키 한입간식,5,1,20,25,0.01,0.1,32
4463,339,생후2개월 이상,육포/져키/소시지,반려견,1,,100g,500,파밀 소보타 헬시스낵 닭고기+다시마,7.5,3,1.7,7,0.02,0.35,23
4464,339,생후2개월 이상,육포/져키/소시지,반려견,1,,100g,810,파밀 소보타 헬시스낵 오리고기+시금치,10.5,3,1,2.5,0.04,0.35,23
4465,339,생후2개월 이상,육포/져키/소시지,반려견,1,,100g,920,파밀 소보타 헬시스낵 소고기+파슬리,8,3.5,1.5,9,0.03,0.35,23
4466,339,생후2개월 이상,육포/져키/소시지,반려견,1,,100g,920,파밀 소보타 헬시스낵 양고기+단호박,9,3,0.08,3,0.1,0.35,23
4467,339,생후2개월 이상,육포/져키/소시지,반려견,1,,80g,2500,파밀 오키독키 두입간식,5,1,20,25,0.01,0.1,32
4468,339,3개월 이상,덴탈껌,반려견,1,,100g,6000,파밀 멀티케어 덴탈츄 치석제거 관절건강,5,0.5,10,5,0.01,0.3,19
4469,339,3개월 이상,덴탈껌,반려견,1,,100g,6000,파밀 멀티케어 덴탈츄 치석제거 피모건강,5,0.5,10,5,0.01,0.3,19
4470,339,생후2개월 이상,덴탈껌,반려견,1,,100g,6000,파밀 멀티케어 덴탈츄 플러스 치석제거와 피모건강,5,0.5,10,5,0.01,0.3,19
